0001999999999999	0001999999999999
00019c8216c61521	0001a77c45cbbc29
00019fda907fd393	0001b5c0f6e0250f
0001a3a273397594	0001c46a45a4ee39
0001a7d94bc2671f	0001d37add89f9ec
0001ac7ec6b96dfb	0001e2f57d1c06ec
0001b192b009c7c3	0001f2dcf6835938
0001b714f2729004	0002033430060da1
0001bd0597182abc	000213fe248e2f13
0001c364c51f7326	0002253de433a545
0001ca32c1527247	000236f694ca1522
0001d16fedce640c	0002492b7272cbfb
0001d91cc9bad530	00025bdfd032cf6b
0001e139f109a73b	00026f17188d2c75
0001e9c81c3fcb16	000282d4ce21a152
0001f2c8204685b8	0002971c8c4fbe14
0001fc3aee45154f	0002abf207de9930
0002062193829030	0002c1590fa935bb
0002107d394fd997	0002d7558d4fba18
00021b4f24f98af7	0002edeb85ed96a9
00022698b7c1b339	0003051f1ad4bcfd
0002325b6ee14fd6	00031cf48a4e08da
00023e98e391663f	00033570305efd78
00024b52cb1ba66f	00034e968794fa33
0002588af6f281ed	0003686c29d60aed
0002664354d0a4d7	000382f5d137795f
0002747deedfc0d2	00039e3858da45a0
0002833cebe69c05	0003ba38bdcdad21
000292828f7e586e	0003d6fc1ff7e884
0002a2513a4eea0e	0003f487c30549b6
0002b2ab6a52b486	000412e10f5de4da
0002c393bb214ad6	0004320d9321efb4
0002d50ce6414e03	00045213032d0464
0002e719c3816971	000472f73c207571
0002f9bd49586db8	000494c04374e263
00030cfa8d4c8cc6	0004b77448933d4f
000320d4c461bc0b	0004db19a5f5730c
0003354f438f436f	0004ffb6e24ee907
00034a6d803c81b0	00052552b1bd04f5
0003603310c4f0ca	00054bf3f6fff401
000376a3ad0376e2	000573a1c4bbe85c
00038dc32ee51229	00059c635ec30589
0003a5959302f00a	0005c6403b683514
0003be1ef94401f1	0005f14004db1ed9
0003d763a58623c5	00061d6a9a8d816f
0003f168004eea47	00064ac812a228c4
00040c309784314c	00067960bb65c276
000427c21f2c83de	0006a93d1cd1d0f0
0004442172377a24	0006da65fa19ffea
00046153934e2b0d	00070ce453441e6b
00047f5dadabd19a	000740c166cb0409
00049e4515fec7bd	00077606b34ca8ab
0004be0f4b51faca	0007acbdf943b7c3
0004dec1f7feff7f	0007e4f13ccce97c
00050062f2a8edd3	00081eaac7786e0d
000522f83f402edb	000859f52a27b8f5
00054688100f6943	000896db3ef7fb9d
00056b18c6d1bb11	0008d5682b39a072
000590b0f5d271b2	000915a761751937
0005b757611673ab	000957a4a37d54fa
0005df12ff8f9198	00099b6c049033b1
000607eafc59f6af	0009e109eb854f31
000631e6b803f365	000a288b150b72c5
00065d0dc9e05f7e	000a71fc95f51c47
000689680163d363	000abd6bdd94632e
0006b6fd678cfb6f	000b0ae6b826a38f
0006e5d640584a9d	000b5a7b51504c82
000715fb0c3f54fc	000bac3836a932d9
0007477489c41d4c	000c002c5a59ca71
00077a4bb708a448	000c566715c9a9b9
0007ae89d3730b59	000caef82c5fbc44
0007e438615e9fc9	000d09efce548a65
00081b6127da2714	000d675e9b96fcd8
0008540e3473c883	000dc755a6c4046a
00088e49dd12f413	000e29e678318e62
0008ca1ec1e0aa84	000e8f23110d2f08
00090797cf3e8ea4	000ef71dee8eec28
000946c03fcd2c0a	000f61ea0d4091b3
000987a39e81e411	000fcf9aec59fab8
0009ca4dc8ccf675	001040449132b8c6
000a0ecaf0d01fea	0010b3fb8ac98358
000a55279fa64e22	00112ad4f561d847
000a9d70b7bcee0b	0011a4e67e383524
000ae7b3773f5ecf	00122246674d500d
000b33fd7a9519f0	0012a30b8b48b4c7
000b825cbef3272e	0013274d617328b8
000bd2dfa501796d	0013af2401c935aa
000c2594f394d8b7	00143aa829263825
000c7a8bda7e04c9	0014c9f33d884a55
000cd1d3f56ec34b	00155d1f526d6028
000d2b7d4ef594e2	0015f4472d49e42b
000d87986390d4f2	00168f864a191ef0
000de63624da10ee	00172ef8e007ac0c
000e4767fcca6da0	0017d2bbe6383845
000eab3fd118fb17	00187aed18a2bbf9
000f11d006b3e283	001927aafd0e5b1f
000f7b2b855564cd	0019d914e826098e
000fe765bb35acbf	001a8f4b02a8060e
00105692a0da845d	001b4a6e4eb0314c
0010c8c6bd060ab6	001c0aa0ad1d36b9
00113e1728c595e8	001cd004e3106cae
